"Review_ID","Rating","Year_Month","Reviewer_Location","Review_Text","Branch"
392719446,4,"2016-7","United States","Good family park, if you find an empty day. It's a 30 minute to 1 hour wait, plus it's packed!! Ages 3 20 will love it, and some adults too. The rides are pretty and intricate, but slow and not too exciting for someone 38, like me lol. The fireworks were cool","Disneyland_California"
669706763,3,"2019-4","Canada","This is going to be a lengthy review, only because this trip had been planned for over a year. Let's start with the lines. Now, myself and 4 others had planned this trip for over a year, we went Easter long weekend and we already were fully expecting it to be busy. We had a 5 day park hopper pass to be able to get on everything and enjoy both parks fully. The Friday, and Sunday were the least busiest days and the most enjoyable. But, there are lines for everything! Lines to get your bags checked, lines to get in, sometimes lines well past the monorail and took 30 minutes or more and lines for rides of up too 120 minutes or more! These parks are so packed full its impossible to move around. Fast pass is a joke unless you get to them early! Got a fast pass at 10 am and was to come back at use it at 6:30pm! The rides: With the 5 days we did manage to get on everything at least twice. But more often then not Indiana Jones was broken. Space Mountain went down a few times, Splash Mountain went down, Big Thunder Mountain, Incredibles Coaster, pretty much everything was broken at one time or another. Waited in line for 45 minutes for Cars before being given a fast pass and told it was broke at about 7pm, it never did reopen that night. If you only have a day pass or hell even 3 days the wait times and the amount of broken down rides would make it near impossible to get on everything. Food: Maybe I am picky, but my friends agreed it was near impossible to find anything decent here. The Red Rose Tavern wasn't bad but it was fast food and it wasn't exactly cheap or anything to rave about. Odered a burger and it was ready before I was done paying! The Grey stuff was pretty delicious though! I can't understand why the Bengal Barbeque has such great reviews. It cost me $5:50 for a chicken skewer that has 3 little pieces of chicken on it! We did the $30 dinner and Fantasmic tickets with the Hungry Bear resturant and what a joke! You got a piece of chicken and or salmon, Rice with cranberries and peaches in it (yuck!) And a arugula salad with chick peas. It came in a plastic container like something from a cafeteria. The Blue Bayou was the only place in Disney that was absolutely blow your mind fantastic. It is not cheap however it was a splurge dinner. The best food we food was outside the park! Better food and prices! Ot is nice they let you bring in water and food now since a water bottle cost $4.50! The churro stands were really good and so was the popcorn stands. The Wine Country Trattoria in California Adventure was very good! Amazing pasta and wine pairings and we did the World of Color package and we got excellent seats for $50 a person. The shows: Fantatsmic and World of Color are incredible and must watch while your here! Get there early to get good seats and don't be suckered into the dinner and show packages for Fantasmic! The one through Hungry Bear was a massive disappointment! The food was terrible and we were told to get there by 8pm but they had already started seating people way before that! We were sat on the side and were obstructed by lamp post and a gate! We saw Fantatsmic the second night and went early, stood on the bridge and it as a primo spot! The World of Color we did the dinner and show through The Wine Country Trattoria and there the food was fantastic and the seats were right up front! That was a $50 package and that was worth it! Overall I've learned a lot from this experience. I would love to come back but may better select our dates. From reading other reviews though sounds like they over pack these parks no matter the time of year. For how much you pay, the wait times and food are just not worth is. Eat outside the park, get fast passes when you can. Hope lady luck is on your side and the rides aren't all broken down. For how much money they must make the rides are always broken!!It was fun, made some great memories, I guess I just expected more but if felt like a money grab everywhere you turned. ","Disneyland_California"
168342225,5,"2013-6","Egypt","i cant forget this day all my life its magic the decoration the hospitality the joy the shop every thing is wonderful and maid by people that can make dreams come true and magic is real the parade is unforgettable it lovely for adults as well as for children s have a nice day","Disneyland_Paris"
156509616,5,"2013-4","United Kingdom","brilliant hotel  disney explorers, great family hotel, good food, disney paris was amazing, great staff and very helpful 3rd time there it only gets better","Disneyland_Paris"
122909903,4,"2012-1","United Kingdom","This was our 3rd visit in ten years and again the park was as magical as ever.On arrival we went straight to park to enjoy the fun. Prior to arrival we had booked tea with the characters. This proved to be a very memorable occasion, with lots of characters coming around to your tables and having lots of fun with the children.The evening Fantillusion parade was something to be remembered forever, however, on other visits this was followed with fireworks which seem to no longer happen.After a long first day we returned to the New York hotel for a good nights sleep.Up early to enjoy our day, visited the Walt Disney studios and more rides in the park.The dream parade was scheduled for 5pm, so we thought this would be a great end to our trip as the Eurostar was due to leave at 6pm.We found a spot at the top of Main Street to wait for the parade which had still not started at 5.20pm. We decided to head for the Eurostar as the parade was never going to get to us in time. As this was only a one night visit we had planned our trip so that the parade would be a great finale to our visit. We left feeling a little annoyed and very dissapointed having not seen one of the biggest spectacles of Disney.","Disneyland_Paris"
338825842,5,"2015-2","New Zealand","I have visited Disneyland a few times now and it never fails to impress.  California Park is definitely my favourite part   the Tower of Terror, Cars Land and the Screamer!","Disneyland_California"
294213065,5,"2015-5","United States","As season pass holders, our family enjoys visiting Disneyland in late September. The crowds are noticeably smaller as most people with families are consumed with the start of the new school year. Another crowd beater is to arrive early in the day. After lunch, the crowds just keep growing.","Disneyland_California"
301698950,5,"2015-8","United Kingdom","we had tickets for 3 days for disneyland, i dont think i realised just how big this place was! Its huge!!We arrived at about 1pm our first day as we travelled from kent at 4am! we were at the back of the car park but thankfully there are walking escalators all the way which is fab as we were exhausted to begin with!we got into the park and headed straight for food as we were also starving so ate at planet hollywood the food was ok although my kids and husband loved theirs kids had the kids menu which was a meal and pudding and drink for 15 euros and i had the american hotdog! dont have that it wasn the best, my husband had the philly dog which he loved the whole meal cost us 90 euros which is quite expensive but we kind of expected aswell, they also come round taking your photo as a family they are 10 euros which we bought!we then headed for the castle, the queues were long for the rides and i dont mean an hour long more like at least 2!! we took the kids on a couple of rides as they had travelled so well and then we just had a wander around and headed for our room.The next day we got to the park for 9am and got on a few rides as soon as possible as we stayed in a disney hotel we get int ot eh park 2hrs early its not open to the public till 10am it was still really busy though and baking hot! make sure if you go in the summer you have sun cream!The next day we got in for 8am (we are getting earlier!) and did 2 rides in 10 mins! We also had a meal with the characters and im so glad we did this as the queues of people to have a photo with the characters was hours long we sat at the table in cafe mickey and they just come to you! we had mickey, goofy, the chipmunks and eeyore this meal made our holiday to see the kids faces was just simply amazing and we have the best photos! its def recommended to do this although the menu is very very restaurant like there are no chicken nuggets if your kids like that! thankfully ours love a lot of different foods although they turned their noses up at quail eggs! this is something you must book though as it gets full quick! i would also recommended doing it as lunch rather than tea as a lot of people do it as tea and its packed we had lots of empty tables at lunch which meant the characters kept coming round a lot to mess around with the the kids which they loved, our daughter bought a thor hammer earlier and every character picked it up and pretended to be thor which the whole restaurant loved!I did read a lot of reviews saying how expensive food and drinks were, i didnt f8ind this to be the case tbh, we had bought drinkg from home as i read this and was worried so didnt buy any drinks but you could buy a meal for the kids easily for 15 euros including pudding and a drink the adults emnu was expensive unless you go all you can eat which i think   23 isnt so bad yes its more expensive than wing wahs at   15 each but your in disneyland!If you have the option to get in the park at 8am!! then do it as its so worth while we picked our breakfast up on the way and ate it as we walked around and it was so beneficial as the kids got on more rides that day than the whole time we were there! There are plenty of shops for everything! the kids went into the lego shop where you can make 3 lego figures of your own for 7 euros! they loves this, my husband also turned into a kid and bought himself a lightsaber and darthvader hoody! which they took to our hotel for us so we didnt have to carry any shopping around this is free and i thought was a great idea!The parade is an absolute must!! we watched it on our second day as we also read it was a must and omg it was fab the ids loved it and so did i!All in all it was an exclellent trip but as much as i loved it and would highly recommend i wouldn go again i think its more of a one off for us, i would like to do florida next!But the kids have been! prepare yourself for a hell of a lot of walking around as we didnt sit down unless we ate! its exhausting! and it completely hammered it down on the third day!","Disneyland_Paris"
141284866,5,"2012-9","Canada","There is just something Disney does that no one came come close to! The cast members just add to the experience even more!","Disneyland_California"
202165911,3,"missing","United Kingdom","I visited with my four year old son over the Easter weekend and we had a really good time. Having visited the Orlando and Los Angeles parks in my youth, this was a trip down memory lane for me with the rides carbon copies of those in the other parks, with the main difference being the French language! There are of course some new attractions, in line with recent Disney Pixar releases.My main criticism would be that park looks and feels a bit tired, nothing that some renovations or repainting wouldn't fix. The food was also exceptionally poor and not cheap. Considering this is France I would not expect the former, if the latter.Lastly, and I guess a sign of the wear and tear, we experienced technical failures on three rides, those being the Big Thunder Railroad which closed the ride for 45 mins (we were nearing the end of the queue but were simply marched out   a fast pass would have been nice for our troubles), and also the Haunted Mansion and Buzz Lightyear rides. I would expect an overall  slicker  experience at these prices.The magic is still there, my son had a whale of a time, but I think Disney needs to consider a temporary closure and overhaul of the park to bring it up to date.","Disneyland_Paris"
